,accuracy_train,accuracy_valid,f1_train,f1_valid,fold,precision_train,precision_valid,recall_train,recall_valid,shuffled
0,0.0877742946708464,0.06321839080459771,0.05123423385428013,0.03355275426163647,0,0.05622895871658049,0.02982250639931231,0.0877742946708464,0.06321839080459771,False
1,0.0877742946708464,0.05747126436781609,0.051030585217381734,0.030683630757201912,1,0.05346416207637723,0.02469016552192456,0.0877742946708464,0.05747126436781609,False
0,0.06687565308254964,0.041274817136886105,0.03553403660590971,0.023939560851897343,0,0.027454473219611017,0.021946813416906574,0.06687565308254964,0.041274817136886105,True
1,0.08098223615464994,0.03187042842215256,0.038142128021291695,0.017775184454178528,1,0.03615770628516082,0.025080474967164583,0.08098223615464994,0.03187042842215256,True
0,0.07836990595611286,0.03970741901776385,0.047302319137811744,0.023330444555064535,0,0.04647596314766971,0.022400487782782027,0.07836990595611286,0.03970741901776385,True
1,0.06687565308254964,0.04336468129571578,0.04021521469427944,0.02942768735502753,1,0.03114484561855079,0.024299495400311594,0.06687565308254964,0.04336468129571578,True
0,0.07523510971786834,0.0522466039707419,0.04734650541942492,0.031177385807613766,0,0.04640059555998807,0.037716026433813804,0.07523510971786834,0.0522466039707419,True
1,0.08045977011494253,0.054858934169279,0.040232088433980115,0.02480572971471348,1,0.03258161752890952,0.01842473527944756,0.08045977011494253,0.054858934169279,True
0,0.07314524555903866,0.04231974921630094,0.03629554979880478,0.02220257051134811,0,0.030442014386130783,0.041797552107273046,0.07314524555903866,0.04231974921630094,True
1,0.07210031347962383,0.03970741901776385,0.041135286633921436,0.02009881491357286,1,0.032443522111920406,0.015591821862666416,0.07210031347962383,0.03970741901776385,True
0,0.07628004179728318,0.041274817136886105,0.04471799335194974,0.024054657692165384,0,0.03960200006699635,0.021163774705358875,0.07628004179728318,0.041274817136886105,True
1,0.07784743991640543,0.04754440961337513,0.04031150188357675,0.021496162985100053,1,0.04880744011522112,0.019348379224839597,0.07784743991640543,0.04754440961337513,True
0,0.06739811912225706,0.04754440961337513,0.03621039059604249,0.022455509044340558,0,0.036736834268173146,0.019372454779541214,0.06739811912225706,0.04754440961337513,True
1,0.0794148380355277,0.04911180773249739,0.04987925011507388,0.02624901175516402,1,0.05286707984579625,0.02565720633012049,0.0794148380355277,0.04911180773249739,True
0,0.07157784743991641,0.03918495297805643,0.04038589658745848,0.021568088478317624,0,0.0417465868074074,0.017553387070374408,0.07157784743991641,0.03918495297805643,True
1,0.06635318704284221,0.0438871473354232,0.037409900423074176,0.02263520200817761,1,0.03286016356363831,0.020017636217076164,0.06635318704284221,0.0438871473354232,True
0,0.06583072100313479,0.04336468129571578,0.037344229723050966,0.023454063818956046,0,0.04030354302425106,0.02703536114484489,0.06583072100313479,0.04336468129571578,True
1,0.07314524555903866,0.03970741901776385,0.04235022030902344,0.021717460338960326,1,0.039369543188906425,0.01879990919936349,0.07314524555903866,0.03970741901776385,True
0,0.08254963427377221,0.05067920585161965,0.048395634924308116,0.024025488919116333,0,0.03993637903697049,0.01839521042974828,0.08254963427377221,0.05067920585161965,True
1,0.07210031347962383,0.050156739811912224,0.04472048292525158,0.028969929772245436,1,0.04644866924746298,0.028815611105654188,0.07210031347962383,0.050156739811912224,True
0,0.07784743991640543,0.04231974921630094,0.05305366150187348,0.02674478278355835,0,0.04996804394415833,0.023143104691404116,0.07784743991640543,0.04231974921630094,True
1,0.07836990595611286,0.04963427377220481,0.04343785391137173,0.021916443957131295,1,0.04427969521994741,0.02078793192977004,0.07836990595611286,0.04963427377220481,True
0,0.07262277951933124,0.04806687565308255,0.040150120139287114,0.02422390094395452,0,0.04366465809412373,0.03208125416102099,0.07262277951933124,0.04806687565308255,True
1,0.07262277951933124,0.03970741901776385,0.04357381007677793,0.02266253939763844,1,0.07236709134945822,0.017109685343686697,0.07262277951933124,0.03970741901776385,True
0,0.07105538140020899,0.03761755485893417,0.04300843091384183,0.021077786313815048,0,0.039791802305530394,0.020540496587489496,0.07105538140020899,0.03761755485893417,True
1,0.07471264367816093,0.04597701149425287,0.0422044558068711,0.025269454014842815,1,0.03975908740352013,0.019944571903557643,0.07471264367816093,0.04597701149425287,True
0,0.0768025078369906,0.044409613375130615,0.044333138658926734,0.022146307072362557,0,0.05909430481745825,0.01779315993759636,0.0768025078369906,0.044409613375130615,True
