,accuracy_train,accuracy_valid,f1_train,f1_valid,fold,precision_train,precision_valid,recall_train,recall_valid,shuffled,component
0,0.12591431556948798,0.056948798328108674,0.0926705757250117,0.040382222323529074,0,0.11636705769613163,0.04210147660698575,0.12591431556948798,0.056948798328108674,False,onset
1,0.12121212121212122,0.05799373040752351,0.0856089756748079,0.03708743496339358,1,0.11702999559607587,0.03779010878539842,0.12121212121212122,0.05799373040752351,False,onset
0,0.09717868338557993,0.04075235109717868,0.06667776299666635,0.028170978385301585,0,0.07349207731855552,0.025639305676384904,0.09717868338557993,0.04075235109717868,True,onset
1,0.09717868338557993,0.04336468129571578,0.06403137124717549,0.02544845283146167,1,0.061713342627716904,0.02119953289983199,0.09717868338557993,0.04336468129571578,True,onset
0,0.0987460815047022,0.040229885057471264,0.06853051100698328,0.02630704999985128,0,0.09629864968980711,0.021600015752024023,0.0987460815047022,0.040229885057471264,True,onset
1,0.1044932079414838,0.04649947753396029,0.06630244019196617,0.024732112176719424,1,0.08728514208584588,0.022361516947523915,0.1044932079414838,0.04649947753396029,True,onset
0,0.09404388714733543,0.038662486938349006,0.06659156676999242,0.023953331491681804,0,0.0809159120797833,0.025401457227883045,0.09404388714733543,0.038662486938349006,True,onset
1,0.10188087774294671,0.04754440961337513,0.07518316794439216,0.031201136588562814,1,0.10999945925854109,0.02536338460618383,0.10188087774294671,0.04754440961337513,True,onset
0,0.09665621734587251,0.044409613375130615,0.06498855464842125,0.026617703490784614,0,0.08410939899686629,0.03498660468219649,0.09665621734587251,0.044409613375130615,True,onset
1,0.09665621734587251,0.04493207941483804,0.06183356574173945,0.027268837443601927,1,0.07092701028116062,0.02578891927802994,0.09665621734587251,0.04493207941483804,True,onset
0,0.08881922675026123,0.034482758620689655,0.05933365723189292,0.022246032996261197,0,0.06557902849057438,0.0197999097488388,0.08881922675026123,0.034482758620689655,True,onset
1,0.09665621734587251,0.045454545454545456,0.0662892396276681,0.029977676891754294,1,0.09027934576009944,0.029218281026400787,0.09665621734587251,0.045454545454545456,True,onset
0,0.10031347962382445,0.04231974921630094,0.07202898851745876,0.029039639907673387,0,0.06864221533723393,0.02400533610106294,0.10031347962382445,0.04231974921630094,True,onset
1,0.10501567398119123,0.034482758620689655,0.0714594516134292,0.021173949295083476,1,0.06506454200028892,0.016964519359309267,0.10501567398119123,0.034482758620689655,True,onset
0,0.10344827586206896,0.04963427377220481,0.0713749391950164,0.03196255134695532,0,0.08236585245580412,0.03258929859697828,0.10344827586206896,0.04963427377220481,True,onset
1,0.10553814002089865,0.04493207941483804,0.07372319983818924,0.026595979999244845,1,0.11274897719120282,0.026306782314608416,0.10553814002089865,0.04493207941483804,True,onset
0,0.08881922675026123,0.04754440961337513,0.061049780590148844,0.030187986801688296,0,0.0667696822988728,0.02681105676817748,0.08881922675026123,0.04754440961337513,True,onset
1,0.10606060606060606,0.04597701149425287,0.07275423554903183,0.029921442250074433,1,0.06540197481905054,0.025462601479235566,0.10606060606060606,0.04597701149425287,True,onset
0,0.08307210031347963,0.04963427377220481,0.05022330477547724,0.030117148317301987,0,0.049459643526984814,0.026471391142639647,0.08307210031347963,0.04963427377220481,True,onset
1,0.0961337513061651,0.04075235109717868,0.06288989535633943,0.024233277072022136,1,0.05375107382038835,0.018307297779706067,0.0961337513061651,0.04075235109717868,True,onset
0,0.10292580982236155,0.04754440961337513,0.07067824509646897,0.03352151468637022,0,0.08406190279931891,0.03180777977904385,0.10292580982236155,0.04754440961337513,True,onset
1,0.09822361546499478,0.03970741901776385,0.06628551823616191,0.026799852961526587,1,0.05820399501641651,0.02307519066138167,0.09822361546499478,0.03970741901776385,True,onset
0,0.09979101358411703,0.03500522466039707,0.07066083366838675,0.021601379830908266,0,0.10116010790224719,0.01894028659578223,0.09979101358411703,0.03500522466039707,True,onset
1,0.09352142110762801,0.03918495297805643,0.06044685935349589,0.023896035747393036,1,0.06578443695170115,0.022710795481086236,0.09352142110762801,0.03918495297805643,True,onset
0,0.0987460815047022,0.051201671891327065,0.06636553603848543,0.030992651224323545,0,0.06066887709710844,0.025245791783932103,0.0987460815047022,0.051201671891327065,True,onset
1,0.09926854754440961,0.044409613375130615,0.07180924830850764,0.02887012007091309,1,0.09962021687486695,0.02282735407989702,0.09926854754440961,0.044409613375130615,True,onset
0,0.09247648902821316,0.04911180773249739,0.06860897646576514,0.03331599965797225,0,0.080342722065429,0.027254860614178453,0.09247648902821316,0.04911180773249739,True,onset
1,0.10553814002089865,0.04649947753396029,0.07455407514629457,0.029923821069800207,1,0.06661780665437435,0.028885867426808428,0.10553814002089865,0.04649947753396029,True,onset
0,0.10031347962382445,0.047021943573667714,0.06967932409326132,0.027459914740145766,0,0.10048565208621707,0.027959982353544813,0.10031347962382445,0.047021943573667714,True,onset
1,0.09247648902821316,0.04649947753396029,0.06259833422263779,0.03103467995385501,1,0.05987129691362369,0.03234361447403003,0.09247648902821316,0.04649947753396029,True,onset
0,0.10188087774294671,0.03761755485893417,0.07169313569816568,0.023799509324863157,0,0.09816488977563916,0.02221216057813046,0.10188087774294671,0.03761755485893417,True,onset
1,0.09456635318704285,0.0438871473354232,0.0695180630736224,0.029800963724297753,1,0.0847503870468557,0.029030014218813033,0.09456635318704285,0.0438871473354232,True,onset
0,0.09561128526645768,0.04179728317659352,0.07084688243954364,0.02859898132829769,0,0.08425341997716979,0.030968423454463347,0.09561128526645768,0.04179728317659352,True,onset
1,0.10867293625914315,0.04336468129571578,0.07611284190198021,0.027140585239690335,1,0.07595465833592113,0.02405988260137473,0.10867293625914315,0.04336468129571578,True,onset
0,0.09195402298850575,0.04075235109717868,0.064145388174782,0.02726960087728535,0,0.06634116233687358,0.027930167907802967,0.09195402298850575,0.04075235109717868,True,onset
1,0.09665621734587251,0.04336468129571578,0.06724736432856819,0.02890155116084987,1,0.08957809090258072,0.028771749428368118,0.09665621734587251,0.04336468129571578,True,onset
0,0.109717868338558,0.032915360501567396,0.07408329553371554,0.01963058100667089,0,0.08982512169582739,0.03738220523254729,0.109717868338558,0.032915360501567396,True,onset
1,0.09822361546499478,0.0438871473354232,0.06473361466186497,0.028035718851849443,1,0.06238023089433949,0.022265355693728544,0.09822361546499478,0.0438871473354232,True,onset
0,0.10292580982236155,0.03396029258098224,0.06845403123600508,0.021094323990102665,0,0.07422163494162894,0.025030801251220636,0.10292580982236155,0.03396029258098224,True,onset
1,0.10553814002089865,0.03343782654127482,0.0777714327061154,0.022326898643749045,1,0.0962878801571438,0.019172573191694877,0.10553814002089865,0.03343782654127482,True,onset
0,0.09717868338557993,0.04179728317659352,0.06516289823278147,0.02531891022931183,0,0.06044935694469897,0.021725208546054746,0.09717868338557993,0.04179728317659352,True,onset
1,0.1044932079414838,0.04179728317659352,0.07339112713094265,0.025560942878885134,1,0.09056070129704821,0.019657628592767706,0.1044932079414838,0.04179728317659352,True,onset
0,0.10397074190177638,0.04075235109717868,0.07247218409934864,0.026466124758048475,0,0.07125768896902686,0.02694512602538359,0.10397074190177638,0.04075235109717868,True,onset
1,0.10553814002089865,0.03500522466039707,0.07229714095240805,0.02145035244657076,1,0.09782013290212847,0.02231286569985238,0.10553814002089865,0.03500522466039707,True,onset
0,0.09561128526645768,0.04754440961337513,0.06373540840532724,0.03064585744954063,0,0.07333651179530638,0.03296457715894732,0.09561128526645768,0.04754440961337513,True,onset
1,0.09195402298850575,0.04336468129571578,0.06249163280541242,0.028060646832896302,1,0.0795982735395502,0.028079795225422706,0.09195402298850575,0.04336468129571578,True,onset
