Word\CobLog\Class\SylCnt
a\4.36\ART\1
a\4.37\N\1
a\2.67\\1
A\4.37\\1
ace\0.70\N\1
ache\0.70\N\1
ache\1.08\V\1
act\2.19\N\1
act\2.09\V\1
Acts\0.00\N\1
ad\0.95\N\1
add\2.37\V\1
adze\0.00\N\1
aft\0.00\ADV\1
age\2.46\N\1
age\0.90\V\1
aged\1.52\A\1
ah\1.83\I\1
ahem\0.00\I\1
aid\1.78\N\1
aid\0.95\V\1
aide\1.00\N\1
ail\1.04\V\1
aim\1.73\N\1
aim\1.54\V\1
ain't\1.34\\1
ain't\0.70\\1
air\2.40\N\1
air\0.00\V\1
airs\0.30\N\1
aisle\1.00\N\1
aitch\0.00\N\1
Al\1.18\N\1
alb\0.00\N\1
ale\0.60\N\1
all\0.00\N\1
all\2.16\ADV\1
all\3.54\PRON\1
alms\0.00\N\1
alp\0.60\N\1
amp\0.30\N\1
an\3.52\ART\1
and\4.46\C\1
angst\0.00\N\1
ant\1.08\N\1
ape\1.04\N\1
ape\0.00\V\1
apse\0.30\N\1
apt\1.30\A\1
arc\0.90\N\1
arc\0.00\V\1
arch\1.23\N\1
arch\0.90\V\1
arch\0.00\A\1
are\0.00\N\1
aren't\1.88\\1
ark\0.48\N\1
arm\2.32\N\1
arm\0.78\V\1
armed\1.52\A\1
arms\1.62\N\1
arse\0.48\N\1
art\2.23\N\1
arts\1.64\N\1
as\3.48\C\1
as\3.04\ADV\1
as\3.44\PREP\1
ash\1.63\N\1
ask\2.91\V\1
asp\0.00\N\1
ass\1.04\N\1
at\3.75\PREP\1
aught\0.00\PRON\1
auk\0.00\N\1
aunt\1.53\N\1
awe\0.90\N\1
awe\0.48\V\1
awl\0.00\N\1
axe\0.95\N\1
axe\0.00\V\1
aye\0.00\ADV\1
aye\0.78\ADV\1
aye\0.00\N\1
aye\0.85\I\1
b\2.40\N\1
b\2.39\\1
b\2.40\\1
B\2.40\\1
BA\0.85\\1
baa\0.00\N\1
baa\0.00\V\1
babe\0.30\N\1
back\2.29\N\1
back\1.45\V\1
back\1.87\A\1
back\2.99\ADV\1
bad\0.00\N\1
bad\2.52\A\1
badge\0.95\N\1
bag\1.90\N\1
bag\0.30\V\1
bags\0.30\N\1
bags\0.00\I\1
bah\0.00\I\1
bail\0.95\N\1
bail\0.48\V\1
bairn\0.00\N\1
bait\1.49\N\1
bait\1.18\V\1
baize\0.30\N\1
bake\1.38\V\1
bald\0.90\A\1
bale\0.48\N\1
balk\0.00\N\1
balk\0.30\V\1
ball\2.05\N\1
ball\0.00\I\1
balls\0.00\I\1
balls\0.30\N\1
balm\0.00\N\1
ban\1.04\N\1
ban\1.30\V\1
band\1.65\N\1
band\0.30\V\1
bane\0.00\N\1
bang\0.90\N\1
bang\1.20\V\1
bang\0.48\ADV\1
bang\0.30\I\1
bank\2.24\N\1
bank\0.70\V\1
banns\0.00\N\1
bar\1.96\N\1
bar\0.78\V\1
bar\0.00\PREP\1
Bar\0.00\N\1
barb\0.30\N\1
barbed\0.90\A\1
bard\0.00\N\1
bare\0.60\V\1
bare\1.58\A\1
barge\0.70\N\1
barge\0.30\V\1
bark\0.00\N\1
bark\0.30\N\1
bark\1.00\V\1
bark\0.70\N\1
bark\0.00\V\1
barm\0.00\N\1
barn\1.11\N\1
barred\0.00\A\1
Bart.\0.78\\1
base\1.90\N\1
base\0.30\A\1
bash\0.00\N\1
bash\0.60\V\1
bask\0.60\V\1
bass\0.70\N\1
bass\0.60\N\1
Bass\0.00\N\1
bast\0.00\N\1
baste\0.30\V\1
bat\1.15\N\1
bat\0.78\V\1
batch\0.70\N\1
bate\0.30\V\1
bath\1.67\N\1
bath\0.78\V\1
Bath\0.85\N\1
bathe\0.00\N\1
bathe\0.95\V\1
baths\0.70\N\1
bats\0.00\A\1
bawd\0.00\N\1
bawl\0.60\V\1
bay\1.51\N\1
bay\0.30\V\1
bay\0.30\A\1
be\4.58\V\1
beach\1.91\N\1
beach\0.00\V\1
bead\1.04\N\1
bead\0.30\V\1
beak\0.85\N\1
beam\1.15\N\1
beam\0.95\V\1
bean\1.34\N\1
bear\1.20\N\1
bear\2.03\V\1
beard\1.40\N\1
beard\0.00\V\1
beast\1.43\N\1
beat\1.04\N\1
beat\1.93\V\1
beat\0.00\A\1
beau\0.48\N\1
beaut\0.00\N\1
beaut\0.00\A\1
beck\0.00\N\1
beck\0.00\N\1
bed\2.43\N\1
bed\0.48\V\1
bee\1.23\N\1
beech\1.04\N\1
beef\0.00\N\1
beef\1.18\N\1
beef\0.00\V\1
beep\0.00\N\1
beer\1.69\N\1
beet\0.48\N\1
beg\1.48\V\1
beige\0.00\N\1
beige\0.30\A\1
belch\0.00\N\1
belch\0.48\V\1
bell\0.00\V\1
bell\1.62\N\1
belle\0.48\N\1
belt\1.43\N\1
belt\0.30\V\1
ben\1.59\N\1
bench\1.42\N\1
bend\1.00\N\1
bend\1.82\V\1
bends\0.00\N\1
bent\0.00\N\1
bent\0.48\A\1
berg\0.00\N\1
berk\0.00\N\1
berth\0.70\N\1
berth\0.00\V\1
best\0.00\V\1
bet\0.85\N\1
bet\1.40\V\1
bey\0.00\N\1
bhang\0.00\N\1
bib\0.30\N\1
bib\0.00\V\1
bid\1.15\N\1
bid\0.70\V\1
bid\0.48\V\1
bide\0.00\V\1
bier\0.00\N\1
biff\0.00\N\1
biff\0.00\V\1
big\2.59\A\1
big\0.90\ADV\1
bight\0.00\N\1
bike\1.00\N\1
bike\0.00\V\1
bile\0.30\N\1
bilge\0.30\N\1
bilk\0.00\V\1
bill\0.00\V\1
bill\1.88\N\1
bill\0.48\V\1
bin\0.78\N\1
bind\0.00\N\1
bind\1.23\V\1
bine\0.00\N\1
binge\0.00\N\1
birch\0.60\N\1
birch\0.00\V\1
bird\2.01\N\1
birth\1.80\N\1
bisque\0.00\N\1
bit\2.42\N\1
bitch\1.20\N\1
bitch\0.00\V\1
bite\1.18\N\1
bite\1.43\V\1
biz\0.00\N\1
blab\0.00\V\1
black\1.77\N\1
black\0.90\V\1
black\2.47\A\1
blade\1.34\N\1
blae\0.00\A\1
blah\0.00\N\1
blame\0.85\N\1
blame\1.66\V\1
blanch\0.48\V\1
bland\0.78\A\1
blank\0.30\N\1
blank\1.18\A\1
blare\0.00\N\1
blare\0.30\V\1
blast\1.04\N\1
blast\0.85\V\1
blast\0.00\I\1
blaze\0.00\V\1
blaze\0.60\N\1
blaze\0.85\V\1
bleach\0.30\N\1
bleach\0.60\V\1
bleak\1.04\A\1
bleat\0.00\N\1
bleat\0.30\V\1
bleed\1.38\V\1
bleep\0.00\N\1
bleep\0.00\V\1
blench\0.00\V\1
blend\0.48\N\1
blend\0.90\V\1
bless\1.26\V\1
blight\0.48\N\1
blight\0.30\V\1
blimp\0.00\N\1
Blimp\0.00\N\1
blind\0.85\N\1
blind\0.95\V\1
blind\1.51\A\1
blink\0.00\N\1
blink\1.15\V\1
blip\0.00\N\1
bliss\0.90\N\1
blithe\0.00\A\1
blitz\0.60\N\1
blitz\0.30\V\1
bloat\0.00\V\1
blob\0.48\N\1
bloc\0.85\N\1
block\1.73\N\1
block\1.38\V\1
bloke\0.95\N\1
blond\0.00\N\1
blond\1.11\A\1
blonde\0.60\N\1
blonde\0.90\A\1
blood\2.15\N\1
blood\0.00\V\1
bloom\0.78\N\1
bloom\0.60\V\1
blot\0.00\N\1
blot\0.70\V\1
blotch\0.30\N\1
blouse\1.04\N\1
blow\1.43\N\1
blow\1.92\V\1
blue\1.48\N\1
blue\0.00\V\1
blue\2.01\A\1
blues\0.30\N\1
bluff\0.78\N\1
bluff\0.30\V\1
bluff\0.00\A\1
blunt\0.30\V\1
blunt\0.78\A\1
blur\0.48\N\1
blur\1.08\V\1
blurb\0.00\N\1
blush\0.30\N\1
blush\1.04\V\1
bo\0.00\I\1
BO\0.00\\1
boar\0.30\N\1
board\2.01\N\1
board\0.95\V\1
boards\0.00\N\1
boast\0.00\N\1
boast\1.08\V\1
boat\1.88\N\1
boat\0.00\V\1
bob\0.70\N\1
bob\0.90\V\1
Bob\1.56\N\1
bobs\0.00\N\1
Boche\0.00\N\1
Boche\0.00\A\1
bock\0.30\N\1
bod\0.00\N\1
bode\0.00\V\1
Boer\0.30\A\1
Boer\0.00\N\1
bog\0.90\N\1
boh\0.00\I\1
boil\0.85\N\1
boil\1.63\V\1
boil\0.48\N\1
bold\1.15\A\1
bole\0.00\N\1
boll\0.00\N\1
bolt\1.00\N\1
bolt\0.78\V\1
bolt\0.30\ADV\1
bomb\1.61\N\1
bomb\1.11\V\1
bond\1.43\N\1
bond\0.30\V\1
bonds\0.00\N\1
bone\1.84\N\1
bone\0.00\V\1
boned\0.00\A\1
boo\0.00\N\1
boo\0.00\V\1
boo\0.00\I\1
boob\0.00\N\1
boob\0.00\V\1
boobs\0.00\N\1
book\2.64\N\1
book\1.20\V\1
books\0.00\N\1
boom\1.18\N\1
boom\1.04\V\1
boon\1.60\N\1
boor\0.00\N\1
boost\0.48\N\1
boost\0.90\V\1
boot\0.00\N\1
boot\1.59\N\1
boot\0.00\V\1
booth\1.04\N\1
boots\0.00\N\1
booze\0.48\N\1
booze\0.00\V\1
bop\0.00\N\1
bop\0.00\V\1
bore\0.90\N\1
bore\1.51\V\1
born\1.96\A\1
borsch\0.00\N\1
borscht\0.00\N\1
bosh\0.00\N\1
bosh\0.00\I\1
bosk\0.00\N\1
boss\1.43\N\1
boss\0.48\V\1
boss\0.00\A\1
botch\0.00\N\1
botch\0.00\V\1
both\2.78\PRON\1
bough\0.48\N\1
